,s,iteration,num sols,SolverMemOut,SolverTotalTime,SATClauses,SavileRowClauseOut,SavileRowTotalTime,SolverSatisfiable,SavileRowTimeOut,SolverNodes,SATVars
105,4,4,32,0,6618.88,1773668,0,104.937,1,0,1853645.0,591071
106,4,5,14,0,2814.3499999999995,1773487,0,109.023,1,0,831606.0,591063
107,4,6,22,0,7288.83,1772512,0,109.669,1,0,1336362.0,590999
108,4,7,26,0,4522.68,1772183,0,105.313,1,0,1429874.0,590948
109,4,8,26,0,4511.2300000000005,1772890,0,107.82,1,0,1232524.0,590977
110,4,9,27,0,5177.540000000002,1773090,0,110.222,1,0,1240384.0,591028
111,4,10,24,0,4608.969999999999,1773887,0,105.226,1,0,1123515.0,591074
112,4,11,24,0,4306.610000000001,1772356,0,109.355,1,0,1146347.0,590943
113,4,12,27,0,5055.140000000001,1773613,0,108.669,1,0,1110362.0,591048
114,4,13,18,0,3675.03,1773345,0,110.897,1,0,952823.0,591015
115,4,14,26,0,4005.49,1773740,0,114.365,1,0,1127956.0,591070
116,4,15,31,0,5244.129999999999,1772785,0,108.929,1,0,1713800.0,590992
117,4,16,27,0,5322.859999999999,1773408,0,110.235,1,0,1190009.0,591024
118,4,17,23,0,4587.970000000001,1772531,0,106.831,1,0,1019946.0,590965
119,4,18,25,0,4334.719999999999,1773625,0,112.065,1,0,948929.0,591076
120,4,19,22,0,4283.260000000001,1772179,0,104.451,1,0,990791.0,590951
121,4,20,27,0,5581.690000000001,1773069,0,107.022,1,0,1443492.0,591020
122,4,21,20,0,2549.9399999999996,1772826,0,111.628,1,0,709223.0,591007
123,4,22,32,0,4590.390000000001,1773077,0,108.305,1,0,1357845.0,591003
124,4,23,26,0,4547.17,1773501,0,109.659,1,0,1238668.0,591063
125,4,24,25,0,3299.22,1772540,0,111.186,1,0,1023611.0,590968
126,4,25,24,0,4435.5,1773109,0,110.489,1,0,1217878.0,591034
127,4,26,32,0,5779.8600000000015,1772610,0,113.213,1,0,2185889.0,590996
128,4,27,28,0,4808.920000000001,1772985,0,110.607,1,0,1217904.0,591011
129,4,28,18,0,3542.8799999999997,1772882,0,111.357,1,0,919013.0,591006
130,4,29,27,0,4488.599999999999,1773602,0,111.217,1,0,1351446.0,591057
131,5,0,10,0,2017.6000000000001,1773640,0,110.24,1,0,413961.0,591118
132,5,1,16,0,3257.36,1774277,0,110.628,1,0,765237.0,591135
133,5,2,8,0,1894.87,1774113,0,111.598,1,0,459474.0,591158
134,5,3,15,0,2721.4599999999996,1773748,0,110.901,1,0,707398.0,591120
135,5,4,6,0,1180.3899999999999,1774605,0,113.47,1,0,287543.0,591176
136,5,5,10,0,1826.0,1773433,0,109.534,1,0,419809.0,591106
137,5,6,7,0,1514.96,1774697,0,123.944,1,0,308023.0,591183
138,5,7,7,0,1623.51,1774379,0,117.165,1,0,379177.0,591162
139,5,8,19,0,2827.58,1774148,0,111.554,1,0,1021478.0,591124
140,5,9,17,0,2705.97,1774501,0,110.584,1,0,789790.0,591178
141,5,10,10,0,1889.0700000000002,1775242,0,117.317,1,0,547670.0,591212
142,5,11,11,0,1869.75,1773459,0,121.063,1,0,528808.0,591086
143,5,12,12,0,2750.06,1774144,0,122.925,1,0,822819.0,591151
144,5,13,6,0,1519.56,1775140,0,113.631,1,0,387595.0,591216
145,5,14,10,0,2072.2,1773608,0,112.002,1,0,708272.0,591092
146,5,15,13,0,2062.69,1773887,0,115.359,1,0,582946.0,591114
147,5,16,12,0,1779.6200000000001,1774609,0,112.321,1,0,439467.0,591166
148,5,17,9,0,1730.6800000000003,1774829,0,112.671,1,0,465141.0,591202
149,5,18,13,0,2124.2900000000004,1774383,0,111.64,1,0,579281.0,591158
150,5,19,12,0,2273.6299999999997,1775961,0,110.948,1,0,753806.0,591279
151,5,20,8,0,1497.5100000000002,1774321,0,116.663,1,0,427037.0,591160
152,5,21,9,0,1935.2099999999998,1773940,0,114.285,1,0,475294.0,591142
153,5,22,13,0,1926.77,1774937,0,118.557,1,0,505961.0,591201
154,5,23,15,0,2148.7799999999997,1775330,0,118.62,1,0,730737.0,591232
155,5,24,15,0,2042.7500000000005,1774155,0,122.559,1,0,712885.0,591150
156,5,25,9,0,1757.2800000000002,1774278,0,114.891,1,0,473160.0,591151
157,5,26,13,0,1767.0700000000004,1774889,0,121.54,1,0,584805.0,591190
158,5,27,7,0,1302.3799999999999,1773717,0,113.072,1,0,395017.0,591118
159,5,28,14,0,1733.23,1774088,0,110.778,1,0,665502.0,591145
160,5,29,18,0,1607.0099999999998,1774392,0,111.306,1,0,863984.0,591158
