"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57"
1427.58337033058,2087.08789583314,3374.17725505292,2727.32055954586,2349.17624074879,1205.10170362448,982.829954113933,3394.38687048248,5279.78986465823,671.893760399834,0,236.337299480537,779.107660417368,401.672472887908,2260.11037641387,2158.67452512993,3519.9402184529,3255.71754084936,3255.71754084936,3424.84758469429,1619.45632414357,6493.58587233363,1487.04203213435,1521.95097678195,1646.3554602202,2726.60645478754,7316.26972428808,6421.61079502358,1101.01318207345,1101.01318207345,1101.01318207345,2430.56415724817,3915.70366448503,4544.24700222498,719.362839197015,1859.89034003479,592.765251674172,1230.1591720764,2735.24847686854,1471.42421740433,977.106515852983,869.529598585736,1666.65589887811,706.278645534446,2769.41698228932,2901.51604091243,2129.72405383323,2361.46493090678,2722.88331567808,6536.6667216547,3435.91624833336,1455.93495517239,1293.69770061107,2090.15047582298,6618.8760815202,4162.79608523876,7381.78426942381
1633.81365741629,2323.20448798826,3588.76340292067,2493.48276437863,2553.88750794413,1410.02354371489,1217.92458649959,3193.09457361271,5512.53823003352,851.035493618999,236.337299480537,0,590.6482160128,548.260452197769,2425.5489749831,2210.18716211971,3348.40021235713,3143.32379464424,3143.32379464424,3190.12131306233,1428.98873948954,6605.06225648735,1288.30560796978,1662.78459183168,1617.97735971181,2941.09566261768,7411.59810356368,6540.12752729626,1056.46167874794,1056.46167874794,1056.46167874794,2373.53225005974,4044.02323501983,4499.2582068358,652.422643449788,1709.8807787542,725.218244375125,1350.26945505502,2961.55307728151,1542.7942324219,804.409190471423,984.607497802202,1703.83180415477,474.689098300217,2942.42993315901,3098.61229396271,2359.52729573587,2505.28754301274,2930.09025320697,6629.68612446004,3345.9592942232,1467.01420667381,1528.52328033248,2309.65007825446,6730.58116831172,3927.1647332815,7475.57762947845
2206.69098647546,2794.71563626411,4149.9337628147,2036.86444863898,3128.28287741924,1984.12682304625,1720.88978553108,2615.42100702024,5884.22838700023,649.855715712377,779.107660417368,590.6482160128,0,842.000812940328,2525.19462131556,2002.32470512132,2757.92785368934,2595.80651099953,2595.80651099953,2738.89171104061,1474.13443355474,7170.91056944821,1311.54899830226,1724.51229247641,2053.25861286628,3214.55728745303,7963.0066118239,7111.20889084546,731.262843389885,731.262843389885,731.262843389885,2720.62603528289,4623.14910307671,4854.83666288641,426.421510692986,1132.93953219464,1314.99380917322,1932.70208815812,3496.17972641787,2094.25580251364,221.929301996309,1073.29344224864,2220.71628226491,523.466552752474,3532.7096337578,3679.63012826696,2882.99425325316,3092.5997081428,3501.76144872207,7179.61227354919,2826.53981212461,1214.95564946181,1963.97542110705,2621.13143608844,7296.52088312171,3560.19625767853,8025.48401861817
1519.10104220931,1962.20817851907,3394.84697019778,2877.44416852803,2419.81629687346,1312.80179949612,929.310270696178,3386.73522756703,5052.53435453608,486.755939369096,401.672472887908,548.260452197769,842.000812940328,0,1877.90065596301,1777.23285800375,3430.55318769461,3051.18810432888,3051.18810432888,3579.61935578736,1976.97252675859,6741.42319880001,1834.69466695883,1124.3690081316,2036.91547157532,2423.18310620495,7585.85391533728,6658.77694689335,852.673886485279,852.673886485279,852.673886485279,2827.63310666262,4145.3909123672,4935.53810556725,566.948095511789,1751.78909250753,900.883153887693,1511.13280525764,2704.49505915001,1800.34579591605,975.942218572033,469.263677494179,2021.2342156788,994.639989405102,2921.96984675547,2988.78867675795,2084.79906915254,2578.55439852411,2779.02118418794,6810.55743206277,3194.10778251984,1117.34877567168,1125.76916389958,1806.41338364947,6866.13568181084,4379.53417673184,7653.35809801204
2435.43614253801,1853.69329923915,3479.12486030657,4416.2338328401,2934.73263012373,1889.66412214454,1864.55733782333,4118.59050233226,3746.8823133777,1708.41817086133,2260.11037641387,2425.5489749831,2525.19462131556,1877.90065596301,0,935.6693045088,2774.01264370372,2709.48615280157,2709.48615280157,5052.63720913055,3851.73575794658,7584.74075887295,3705.58443062316,796.387474804751,3765.05705746874,1049.13328120347,8512.98864091076,7453.0712444018,1944.17365181372,1944.17365181372,1944.17365181372,4573.88979690112,5038.62974043631,6600.58817380094,2100.25917754127,2689.60797596796,2547.42981992184,2946.65168755501,2718.36263484342,3321.79559420025,2527.72127478125,1471.6910255639,3603.72224355678,2848.38979287514,3642.85485350517,3435.07558680516,2260.47098097005,3603.12640223278,3143.00158146688,7780.16304012504,2509.06973638056,1586.25079790348,1530.77430930095,946.781007132995,7702.5644998056,6009.58160899951,8588.92826225646
2999.96291290089,2815.71815919552,4480.43303929424,3524.39256829297,3735.34123982313,2599.9444753432,2324.61251059627,3149.54168718763,4982.81766026486,1390.93101699811,2158.67452512993,2210.18716211971,2002.32470512132,1777.23285800375,935.6693045088,0,1547.4515037532,1568.34216273395,1568.34216273395,4145.52823441752,3475.19210473294,8323.64000871599,3313.14900199364,279.619990889797,3804.7286535644,2296.82476406653,9210.37533452428,8217.26609186201,1272.38395153267,1272.38395153267,1272.38395153267,4580.36544068484,5723.05880422345,6701.05327012587,1625.50307595498,1776.3340453465,2667.85497770843,3240.27045486817,3710.30270213789,3561.17499056505,1897.1189736676,1325.88098290517,3794.82930239877,2479.67480565568,4381.06340471715,4291.27812865815,3153.76309622004,4179.97836738464,4020.85556906328,8448.63961644631,1305.69143179337,787.413805572325,2176.76419785608,2045.35848037488,8446.00590774335,5127.38589824979,9281.79656937051
4930.00687084766,5299.21559678783,6822.62942087835,1984.6819733301,5844.4295995039,4712.57634080192,4356.9968858607,708.784705886717,7277.07985947533,2855.04366801291,3519.9402184529,3348.40021235713,2757.92785368934,3430.55318769461,2774.01264370372,1547.4515037532,0,145.888017675473,145.888017675473,2128.56698357306,3497.0726752605,9865.79230253997,1957.92924308427,1744.17511163836,4592.49361259765,4613.52575212624,10612.4015921271,9820.94590542482,2636.5203521991,2636.5203521991,2636.5203521991,4616.77085598948,7359.53354694288,6991.55192021254,2866.43806285545,814.817393574333,4072.84088253703,4683.45088265556,6113.10251979309,4803.91590286558,2546.18673373856,3330.74498062366,4875.84016601617,3129.74040384133,6287.93027280784,6408.32510340342,5493.32508352972,5847.07997407174,6208.05231973469,9828.58677754664,706.286931741499,2716.58640565843,4474.13826775892,4551.52443950285,9991.25532038798,3085.17353888935,10670.0359723003
4563.28907538994,4725.28429467734,6337.65257632495,2036.60972294496,5438.58615195257,4347.16186851791,3924.03991045206,814.432959024477,7088.55718808665,2441.1765466689,3255.71754084936,3143.32379464424,2595.80651099953,3051.18810432888,2709.48615280157,1568.34216273395,145.888017675473,0,0,2221.63946640152,3487.6377834484,9746.30373221471,2017.82439089942,1022.56019457486,4560.10960203188,4403.70476315295,10553.7200577835,9676.96385017433,2198.62904518057,2198.62904518057,2198.62904518057,4628.53742370976,7171.02977606684,7000.17933846587,2539.19863769468,688.050008705904,3846.43958670155,4483.32599103384,5590.48316589624,4682.63127171272,2375.24901691181,2816.16234733702,4816.44660742079,3076.10991519984,5972.71238510029,6011.7787444814,4984.98264605447,5611.97036037827,5778.72355307026,9771.14310566771,395.536529570568,2090.77275034627,3948.5078948963,4086.65524288419,9871.73433746455,3192.13865388307,10617.1162168712
4563.28907538994,4725.28429467734,6337.65257632495,2036.60972294496,5438.58615195257,4347.16186851791,3924.03991045206,814.432959024477,7088.55718808665,2441.1765466689,3255.71754084936,3143.32379464424,2595.80651099953,3051.18810432888,2709.48615280157,1568.34216273395,145.888017675473,0,0,2221.63946640152,3487.6377834484,9746.30373221471,2017.82439089942,1022.56019457486,4560.10960203188,4403.70476315295,10553.7200577835,9676.96385017433,2198.62904518057,2198.62904518057,2198.62904518057,4628.53742370976,7171.02977606684,7000.17933846587,2539.19863769468,688.050008705904,3846.43958670155,4483.32599103384,5590.48316589624,4682.63127171272,2375.24901691181,2816.16234733702,4816.44660742079,3076.10991519984,5972.71238510029,6011.7787444814,4984.98264605447,5611.97036037827,5778.72355307026,9771.14310566771,395.536529570568,2090.77275034627,3948.5078948963,4086.65524288419,9871.73433746455,3192.13865388307,10617.1162168712
4756.96800485851,5509.01349227597,6704.38036607287,702.179607388583,5642.66525121321,4538.06453921564,4407.67666597109,1422.80822888336,8616.81394843836,3247.99973084521,3424.84758469429,3190.12131306233,2738.89171104061,3579.61935578736,5052.63720913055,4145.52823441752,2128.56698357306,2221.63946640152,2221.63946640152,0,1366.18618054696,8863.80527495124,587.800513259069,3190.94184876715,3680.65311766201,5911.70313589253,9479.51579054285,8865.79626218243,3153.10301796946,3153.10301796946,3153.10301796946,1963.86817174591,6598.45378191676,4869.16572412711,3101.80938110229,2367.95178449332,3768.83503589262,4213.56197716794,6132.1201117327,4158.33487478542,2642.99991749723,3759.64177315673,4097.14085141995,2752.23807156302,5858.55506696061,6135.75651997203,5542.50737813316,5297.80967798331,6021.00414952363,8714.9969391805,3395.77843970904,3519.95972276426,4692.49216435614,5345.35330573189,8985.48945025722,25.0264541588124,9525.51312724195
