,lambda,iteration,num sols,SolverMemOut,SolverTotalTime,SATClauses,SavileRowClauseOut,SavileRowTotalTime,SolverSatisfiable,SavileRowTimeOut,SolverNodes,SATVars
133,0.07,1,18,,232.214,,0,90.14,1,0,606910,
134,0.07,2,24,,233.928,,0,90.694,1,0,603867,
135,0.07,3,22,,228.743,,0,88.578,1,0,606763,
136,0.07,4,23,,231.191,,0,85.0,1,0,607236,
137,0.07,5,28,,231.81,,0,82.686,1,0,599203,
138,0.07,6,31,,233.625,,0,93.145,1,0,606631,
139,0.07,7,27,,229.938,,0,88.218,1,0,606834,
140,0.07,8,23,,232.056,,0,89.203,1,0,589088,
141,0.07,9,29,,231.219,,0,81.946,1,0,604282,
142,0.07,10,22,,232.568,,0,85.22,1,0,606701,
143,0.07,11,27,,232.906,,0,87.766,1,0,607046,
144,0.07,12,32,,237.816,,0,85.233,1,0,605695,
145,0.07,13,29,,231.446,,0,84.073,1,0,602411,
146,0.07,14,32,,232.209,,0,87.172,1,0,606673,
147,0.07,15,37,,230.961,,0,84.142,1,0,603557,
148,0.07,16,33,,231.61,,0,88.428,1,0,607034,
149,0.07,17,24,,234.485,,0,84.816,1,0,606906,
150,0.07,18,26,,234.049,,0,89.798,1,0,607238,
151,0.07,19,20,,227.918,,0,85.439,1,0,604400,
152,0.07,20,36,,226.649,,0,81.858,1,0,607248,
153,0.07,21,29,,232.673,,0,78.692,1,0,600817,
154,0.07,22,34,,234.951,,0,82.497,1,0,604468,
155,0.07,23,23,,226.939,,0,83.654,1,0,607126,
156,0.07,24,26,,230.064,,0,84.725,1,0,603004,
157,0.07,25,26,,227.995,,0,77.117,1,0,606774,
158,0.07,26,26,,228.408,,0,84.415,1,0,607157,
159,0.07,27,31,,231.295,,0,76.064,1,0,605764,
160,0.07,28,31,,231.422,,0,97.22,1,0,601006,
161,0.07,29,27,,246.959,,0,98.23,1,0,606086,
162,0.08,0,30,,232.369,,0,95.527,1,0,606761,
163,0.08,1,40,,232.161,,0,84.567,1,0,606900,
164,0.08,2,26,,234.046,,0,90.426,1,0,606994,
165,0.08,3,26,,234.885,,0,80.225,1,0,604745,
166,0.08,4,36,,227.381,,0,89.3,1,0,598392,
167,0.08,5,40,,230.097,,0,92.553,1,0,607260,
168,0.08,6,33,,235.86,,0,97.131,1,0,604275,
169,0.08,7,30,,234.757,,0,80.212,1,0,606342,
170,0.08,8,32,,228.183,,0,82.394,1,0,607254,
171,0.08,9,29,,231.24,,0,78.226,1,0,601951,
172,0.08,10,28,,234.064,,0,93.439,1,0,607164,
173,0.08,11,35,,231.126,,0,93.896,1,0,605494,
174,0.08,12,32,,231.911,,0,84.791,1,0,607137,
175,0.08,13,24,,228.012,,0,87.035,1,0,605398,
176,0.08,14,31,,229.161,,0,85.488,1,0,603776,
177,0.08,15,28,,226.856,,0,83.75,1,0,606939,
178,0.08,16,30,,233.277,,0,90.082,1,0,602215,
179,0.08,17,30,,245.362,,0,84.591,1,0,607188,
180,0.08,18,29,,231.932,,0,89.811,1,0,606456,
181,0.08,19,28,,233.825,,0,88.997,1,0,605437,
182,0.08,20,40,,230.507,,0,83.449,1,0,603559,
183,0.08,21,34,,232.079,,0,83.157,1,0,606150,
184,0.08,22,23,,232.015,,0,84.334,1,0,603862,
185,0.08,23,28,,231.443,,0,84.065,1,0,602217,
186,0.08,24,41,,232.87,,0,80.249,1,0,603098,
187,0.08,25,30,,232.487,,0,78.834,1,0,589461,
188,0.08,26,29,,227.359,,0,77.784,1,0,606960,
189,0.08,27,28,,230.23,,0,80.229,1,0,606302,
190,0.08,28,38,,231.126,,0,75.709,1,0,606761,
191,0.08,29,34,,228.489,,0,73.363,1,0,599884,
192,0.09,0,34,,223.469,,0,80.104,1,0,606793,
193,0.09,1,31,,226.542,,0,90.584,1,0,604071,
194,0.09,2,29,,223.865,,0,86.113,1,0,591442,
195,0.09,3,34,,231.056,,0,84.508,1,0,601449,
196,0.09,4,37,,191.513,,0,83.009,1,0,606879,
197,0.09,5,28,,228.182,,0,86.797,1,0,599070,
198,0.09,6,39,,225.385,,0,85.219,1,0,602216,
199,0.09,7,30,,224.707,,0,82.221,1,0,606500,
200,0.09,8,27,,222.391,,0,85.17,1,0,601211,
201,0.09,9,34,,231.762,,0,83.914,1,0,605357,
202,0.09,10,41,,229.628,,0,83.698,1,0,607087,
203,0.09,11,42,,223.574,,0,83.485,1,0,603917,
204,0.09,12,34,,227.202,,0,84.135,1,0,596242,
205,0.09,13,40,,223.72,,0,88.252,1,0,606570,
206,0.09,14,35,,221.47,,0,88.265,1,0,604736,
207,0.09,15,30,,229.531,,0,83.52,1,0,607246,
208,0.09,16,35,,230.797,,0,79.26,1,0,606951,
209,0.09,17,26,,219.614,,0,88.299,1,0,606962,
210,0.09,18,37,,226.299,,0,77.07,1,0,604805,
211,0.09,19,39,,223.834,,0,79.475,1,0,604089,
212,0.09,20,26,,188.462,,0,82.312,1,0,606662,
213,0.09,21,31,,222.712,,0,79.255,1,0,607200,
214,0.09,22,32,,225.797,,0,80.787,1,0,606425,
215,0.09,23,28,,228.073,,0,75.93,1,0,606717,
216,0.09,24,31,,224.361,,0,77.373,1,0,603702,
217,0.09,25,28,,222.144,,0,77.169,1,0,601502,
218,0.09,26,31,,220.828,,0,80.999,1,0,600396,
219,0.09,27,33,,220.6,,0,79.256,1,0,604592,
220,0.09,28,34,,214.648,,0,77.416,1,0,606792,
221,0.09,29,29,,209.554,,0,77.474,1,0,607042,
